CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
1070742	62167.53516	3311739611375	0.54629	0.67071	62167.17188	0.34766	20398	0	0.59400	0.78531	0	0.53690	0.75479	1	0.53690	0.75479	1	0.50894	0.86237	11.90149	1.03007	0	0.97130	0.85615	14.17705	1.03713	1	0.00130	-0.03309	0.49372	0.00273	1	0.06575	-0.03289	0.49545	0.00277	1	0.72840	1.03255	0	0
1070743	62167.55078	3311739783229	0.54191	0.71096	62167.17188	0.34766	20398	0	0.59400	0.78531	0	0.53752	0.75121	1	0.53752	0.75121	1	0.50894	0.86237	11.90149	1.04390	0	0.97073	0.85773	13.49539	1.04390	1	0.00130	-0.03309	0.49372	0.00273	1	0.06397	-0.03211	0.48243	0.00289	1	0.72840	1.03255	0	
1070744	62167.56641	3311739938531	0.54205	0.73919	62167.17188	0.34766	20398	0	0.59400	0.78531	0	0.54233	0.79566	1	0.54233	0.79566	1	0.50894	0.86237	11.90149	1.04390	0	0.97057	0.85726	13.51671	1.03683	1	0.00130	-0.03309	0.49372	0.00273	1	0.06397	-0.03211	0.48243	0.00300	1	0.72840	1.03255	0	
1070745	62167.58203	3311740104109	0.55524	0.80884	62167.17188	0.34766	20398	0	0.59400	0.78531	0	0.58586	0.87965	1	0.58586	0.87965	1	0.50894	0.86237	11.90149	1.03683	0	0.97089	0.85882	13.50447	1.02976	1	0.00130	-0.03309	0.49372	0.00273	1	0.06397	-0.03211	0.48243	0.00308	1	0.72840	1.03255	0	
1070746	62167.60156	3311740267834	0.57055	0.84425	62167.17188	0.34766	20398	0	0.59400	0.78531	0	0.58586	0.87965	1	0.58586	0.87965	1	0.50894	0.86237	11.90149	1.02976	0	0.96923	0.85768	12.95255	1.02976	1	0.00130	-0.03309	0.49372	0.00273	1	0.06628	-0.03343	0.50089	0.00298	1	0.72840	1.03255	0	
1070747	62167.61719	3311740432761	0.54298	0.81930	62167.17188	0.34766	20398	0	0.59400	0.78531	0	0.48786	0.76939	1	0.48786	0.76939	1	0.50894	0.86237	11.90149	1.02976	0	0.96918	0.85809	13.24184	1.03683	1	0.00130	-0.03309	0.49372	0.00273	1	0.06628	-0.03343	0.50089	0.00292	1	0.72840	1.03255	0	
1070748	62167.63281	3311740596502	0.53997	0.80759	62167.58203	0.05078	20399	1	0.59400	0.78531	0	0.53092	0.77246	1	0.53092	0.77246	1	0.50894	0.86237	11.90149	1.03683	0	0.96905	0.85790	13.32425	1.04390	1	0.00130	-0.03309	0.49372	0.00273	1	0.06628	-0.03343	0.50089	0.00296	1	0.72840	1.03255	0	
1070749	62167.64844	3311740760706	0.53816	0.80056	62167.58203	0.06641	20399	1	0.59400	0.78531	0	0.53092	0.77246	1	0.53092	0.77246	1	0.50894	0.86237	11.90149	1.04390	0	0.96825	0.85717	13.49522	1.04390	1	0.00130	-0.03309	0.49372	0.00273	1	0.06428	-0.03250	0.48752	0.00299	1	0.72840	1.03255	0	
1070750	62167.66406	3311740925553	0.52776	0.79814	62167.58203	0.08203	20399	1	0.59400	0.78531	0	0.47578	0.78604	1	0.47578	0.78604	1	0.50894	0.86237	11.90149	1.04390	0	0.96828	0.85849	13.61559	1.03683	1	0.00130	-0.03309	0.49372	0.00273	1	0.06428	-0.03250	0.48752	0.00281	1	0.72840	1.03255	0	
1070751	62167.68359	3311741089965	0.52688	0.79814	62167.58203	0.10156	20399	1	0.51056	0.79076	1	0.53265	0.80557	1	0.52160	0.79816	1	0.50546	0.86519	11.12079	1.03683	1	0.96858	0.85828	13.87856	1.02976	1	0.00130	-0.03309	0.49372	0.00290	1	0.06428	-0.03250	0.48752	0.00286	1	0.72840	1.03255	0	
1070752	62167.69922	3311741252633	0.52622	0.79812	62167.58203	0.11719	20399	1	0.51054	0.79053	1	0.53269	0.80533	1	0.52161	0.79793	1	0.50522	0.86550	11.74129	1.03732	1	0.96779	0.85863	13.37551	1.03025	1	0.00071	-0.03438	0.50790	0.00260	1	0.06428	-0.03254	0.48752	0.00288	1	0.72840	1.03255	0	
1070753	62167.71484	3311741418260	0.51972	0.79684	62167.58203	0.13281	20399	1	0.42823	0.74834	1	0.50716	0.82493	1	0.46770	0.78663	1	0.50451	0.86572	12.32676	1.03781	1	0.96791	0.85855	13.17793	1.03781	1	0.00071	-0.03438	0.50790	0.00252	1	0.06428	-0.03254	0.48752	0.00284	1	0.72840	1.03255	0	
1070754	62167.73047	3311741582762	0.51349	0.79460	62167.58203	0.14844	20399	1	0.43419	0.77524	1	0.48062	0.77352	1	0.45741	0.77438	1	0.50446	0.86575	12.22335	1.04537	1	0.96764	0.85835	13.37151	1.04537	1	0.00071	-0.03438	0.50790	0.00261	1	0.06428	-0.03254	0.48752	0.00294	1	0.72840	1.03255	0	
1070755	62167.74609	3311741746162	0.50839	0.79276	62167.58203	0.16406	20399	1	0.43419	0.77524	1	0.48062	0.77352	1	0.45741	0.77438	1	0.50465	0.86508	11.65935	1.04537	1	0.96738	0.85842	14.14850	1.04537	1	0.00074	-0.03348	0.49532	0.00263	1	0.06428	-0.03254	0.48752	0.00289	1	0.72840	1.03255	0	
1070756	62167.76562	3311741911305	0.50362	0.78906	62167.58203	0.18359	20399	1	0.44991	0.76232	1	0.45240	0.73441	1	0.45115	0.74836	1	0.50457	0.86561	11.87662	1.03781	1	0.96714	0.85754	13.78867	1.03781	1	0.00074	-0.03348	0.49532	0.00253	1	0.06428	-0.03254	0.48752	0.00269	1	0.72840	1.03255	0	
1070757	62167.78125	3311742074517	0.50091	0.78385	62167.58203	0.19922	20399	1	0.47162	0.72105	1	0.46513	0.72158	1	0.46838	0.72131	1	0.50478	0.86509	11.90428	1.03025	1	0.96737	0.85804	14.16106	1.03025	1	0.00074	-0.03348	0.49532	0.00261	1	0.06428	-0.03254	0.48752	0.00279	1	0.72840	1.03255	0	
1070758	62167.79688	3311742238712	0.49862	0.77994	62167.58203	0.21484	20399	1	0.47283	0.72856	1	0.46477	0.72961	1	0.46880	0.72908	1	0.50481	0.86523	11.95373	1.01593	1	0.96799	0.85863	13.44629	1.01593	1	0.00076	-0.03238	0.47899	0.00271	1	0.06428	-0.03254	0.48752	0.00283	1	0.72840	1.03255	0	
1070759	62167.81250	3311742403281	0.49892	0.78106	62167.58203	0.23047	20399	1	0.50961	0.85014	1	0.49681	0.74355	1	0.50321	0.79685	1	0.50530	0.86526	11.55238	1.00917	1	0.96793	0.85814	12.90225	1.00917	1	0.00076	-0.03238	0.47899	0.00262	1	0.06428	-0.03254	0.48752	0.00278	1	0.72840	1.03255	0	
1070760	62167.82812	3311742568527	0.49823	0.78125	62167.58203	0.24609	20399	1	0.47507	0.80648	1	0.50068	0.76162	1	0.48787	0.78405	1	0.50490	0.86542	12.04767	1.00241	1	0.96782	0.85852	13.35840	1.00241	1	0.00076	-0.03238	0.47899	0.00259	1	0.06428	-0.03254	0.48752	0.00280	1	0.72840	1.03255	0	
1070761	62167.84766	3311742732791	0.49764	0.78130	62167.58203	0.26562	20399	1	0.47507	0.80648	1	0.50111	0.75781	1	0.48809	0.78215	1	0.50612	0.86424	11.44228	1.00241	1	0.96823	0.85853	14.04382	1.00948	1	0.00085	-0.03393	0.50190	0.00277	1	0.06539	-0.03308	0.49553	0.00276	1	0.72840	1.03255	0	
1070762	62167.86328	3311742896884	0.49754	0.78105	62167.58203	0.28125	20399	1	0.50539	0.76924	1	0.48633	0.78442	1	0.49586	0.77683	1	0.50591	0.86375	11.41331	1.01624	1	0.96775	0.85804	12.74633	1.02331	1	0.00085	-0.03393	0.50190	0.00273	1	0.06539	-0.03308	0.49553	0.00275	1	0.72840	1.03255	0	
1070763	62167.87891	3311743061284	0.49830	0.78185	62167.58203	0.29688	20399	1	0.50022	0.77792	1	0.52393	0.81441	1	0.51208	0.79616	1	0.50585	0.86389	11.37004	1.03007	1	0.96830	0.85866	14.20403	1.03713	1	0.00085	-0.03393	0.50190	0.00268	1	0.06539	-0.03308	0.49553	0.00276	1	0.72840	1.03255	0	
1070764	62167.89453	3311743224781	0.49899	0.78240	62167.58203	0.31250	20399	1	0.49978	0.77460	1	0.52450	0.81108	1	0.51214	0.79284	1	0.50609	0.86432	12.01085	1.03713	1	0.96834	0.85873	14.26885	1.04420	1	0.00086	-0.03265	0.48243	0.00275	1	0.06539	-0.03308	0.49553	0.00276	1	0.72840	1.03255	0	
1070765	62167.91016	3311743389682	0.49980	0.78332	62167.58203	0.32812	20399	1	0.51210	0.79684	1	0.51981	0.80677	1	0.51595	0.80180	1	0.50604	0.86454	12.03412	1.03744	1	0.96823	0.85853	14.04382	1.03744	1	0.00086	-0.03265	0.48243	0.00269	1	0.06539	-0.03308	0.49553	0.00276	1	0.72840	1.03255	0	
1070766	62167.92969	3311743553331	0.50063	0.78727	62167.58203	0.34766	20399	1	0.50427	0.85255	1	0.53180	0.88772	1	0.51804	0.87013	1	0.50600	0.86439	12.04725	1.03068	1	0.96850	0.85908	14.14322	1.03068	1	0.00086	-0.03265	0.48243	0.00263	1	0.06539	-0.03308	0.49553	0.00284	1	0.72840	1.03255	0	
1070767	62167.94531	3311743718962	0.50137	0.79093	62167.58203	0.36328	20399	1	0.50427	0.85255	1	0.53118	0.89057	1	0.51772	0.87156	1	0.50645	0.85559	13.13452	1.03068	1	0.96795	0.84999	14.19299	1.02361	1	0.00102	-0.03304	0.49643	0.00356	1	0.06373	-0.03176	0.48402	0.00417	1	0.72840	1.03255	0	
1070768	62167.96094	3311743883311	0.50142	0.78889	62167.58203	0.37891	20399	1	0.46939	0.70726	1	0.53583	0.77663	1	0.50261	0.74194	1	0.50683	0.85420	12.81656	1.03037	1	0.96721	0.84730	14.33181	1.02331	1	0.00102	-0.03304	0.49643	0.00262	1	0.06373	-0.03176	0.48402	0.00296	1	0.72840	1.03255	0	
1070769	62167.97656	3311744047320	0.50238	0.78619	62167.58203	0.39453	20399	1	0.51124	0.72683	1	0.53961	0.71567	1	0.52542	0.72125	1	0.50678	0.85423	13.14450	1.03007	1	0.96721	0.84692	14.43944	1.02300	1	0.00102	-0.03304	0.49643	0.00273	1	0.06373	-0.03176	0.48402	0.00299	1	0.72840	1.03255	0	
1070770	62167.99219	3311744211425	0.50324	0.78397	62167.58203	0.41016	20399	1	0.51162	0.73050	1	0.53775	0.72671	1	0.52469	0.72861	1	0.50566	0.85073	12.98992	1.02300	1	0.96712	0.84375	14.57956	1.00382	1	0.00086	-0.03200	0.48559	0.00297	1	0.05978	-0.02954	0.45473	0.00352	1	0.72840	1.03255	0	
1070771	62168.01172	3311744373680	0.50315	0.77833	62167.58203	0.42969	20399	1	0.48781	0.62621	1	0.51369	0.63689	1	0.50075	0.63155	1	0.50572	0.85144	12.13799	0.99706	1	0.96742	0.84466	14.25790	0.98495	1	0.00086	-0.03200	0.48559	0.00306	1	0.05978	-0.02954	0.45473	0.00338	1	0.72840	1.03255	0	
1070772	62168.02734	3311744540614	0.50373	0.77306	62167.58203	0.44531	20399	1	0.49318	0.64185	1	0.54569	0.61983	1	0.51943	0.63084	1	0.50539	0.85232	13.39411	0.97818	1	0.96728	0.84408	14.51916	0.96607	1	0.00086	-0.03200	0.48559	0.00319	1	0.05978	-0.02954	0.45473	0.00348	1	0.72840	1.03255	0	START_TRIAL PLOT_COMBINED_7YTD.PNG
