CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
1119625	62970.62891	3319770577753	0.60673	0.47905	62970.50000	0.12891	21920	1	0.65204	0.43935	1	0.65927	0.53767	1	0.65565	0.48851	1	0.30677	0.66729	13.98671	1.00861	1	0.77739	0.64169	12.87454	1.00861	1	-0.05478	-0.02667	0.85690	0.00361	1	0.03883	-0.01477	0.50836	0.00356	1	0.64275	1.07161	0	0
1119626	62970.64844	3319770742422	0.60998	0.48100	62970.50000	0.14844	21920	1	0.64378	0.43763	1	0.63458	0.55954	1	0.63918	0.49858	1	0.30759	0.66538	14.07875	1.00861	1	0.77759	0.64293	13.10197	1.00861	1	-0.05478	-0.02667	0.85690	0.00361	1	0.03883	-0.01477	0.50836	0.00355	1	0.64275	1.07161	0	
1119627	62970.66406	3319770906279	0.61301	0.48223	62970.50000	0.16406	21920	1	0.62691	0.45324	1	0.65981	0.53568	1	0.64336	0.49446	1	0.30721	0.66616	14.14113	1.00861	1	0.77726	0.64281	12.72160	1.00861	1	-0.05478	-0.02667	0.85690	0.00371	1	0.03883	-0.01477	0.50836	0.00376	1	0.64275	1.07161	0	
1119628	62970.67969	3319771070898	0.61554	0.48325	62970.50000	0.17969	21920	1	0.62691	0.45324	1	0.65981	0.53568	1	0.64336	0.49446	1	0.30705	0.66555	13.21668	1.00861	1	0.77702	0.64151	13.06406	1.00861	1	-0.05478	-0.02667	0.85690	0.00339	1	0.03798	-0.01422	0.49247	0.00350	1	0.64275	1.07161	0	
1119629	62970.69531	3319771235117	0.61704	0.47995	62970.50000	0.19531	21920	1	0.62805	0.44318	1	0.64199	0.43769	1	0.63502	0.44043	1	0.30714	0.66600	13.29547	1.00861	1	0.77735	0.64046	12.16100	1.00861	1	-0.05478	-0.02667	0.85690	0.00330	1	0.03798	-0.01422	0.49247	0.00370	1	0.64275	1.07161	0	
1119630	62970.71094	3319771399523	0.62043	0.47666	62970.50000	0.21094	21920	1	0.68107	0.43093	1	0.64791	0.43675	1	0.66449	0.43384	1	0.30749	0.66646	13.52156	1.00861	1	0.77735	0.64165	12.90474	1.00861	1	-0.05478	-0.02667	0.85690	0.00346	1	0.03798	-0.01422	0.49247	0.00416	1	0.64275	1.07161	0	
1119631	62970.73047	3319771564223	0.62337	0.47380	62970.50000	0.23047	21920	1	0.68107	0.43093	1	0.64791	0.43675	1	0.66449	0.43384	1	0.30671	0.66694	14.17937	1.00861	1	0.77704	0.64223	13.24569	1.00861	1	-0.05478	-0.02667	0.85690	0.00343	1	0.03798	-0.01422	0.49247	0.00397	1	0.64275	1.07161	0	
1119632	62970.74609	3319771728361	0.62275	0.47521	62970.50000	0.24609	21920	1	0.61527	0.47466	1	0.61180	0.51802	1	0.61354	0.49634	1	0.30702	0.66642	13.96661	1.00861	1	0.77654	0.64269	12.69286	1.00861	1	-0.05478	-0.02667	0.85690	0.00331	1	0.03798	-0.01422	0.49247	0.00340	1	0.64275	1.07161	0	
1119633	62970.76172	3319771892611	0.62276	0.47335	62970.50000	0.26172	21920	1	0.60265	0.41965	1	0.64297	0.46739	1	0.62281	0.44352	1	0.30691	0.66641	14.23306	1.00861	1	0.77718	0.64220	13.51795	1.00861	1	-0.05478	-0.02667	0.85690	0.00332	1	0.03798	-0.01422	0.49247	0.00381	1	0.64275	1.07161	0	START_TRIAL PLOT_COMBINED_2YTD.PNG
1119634	62970.77734	3319772056267	0.62276	0.47169	62970.50000	0.27734	21920	1	0.60265	0.41965	1	0.64297	0.46739	1	0.62281	0.44352	1	0.30777	0.66533	14.02000	1.00861	1	0.77733	0.64190	13.45170	1.00861	1	-0.05478	-0.02667	0.85690	0.00360	1	0.03798	-0.01422	0.49247	0.00358	1	0.64275	1.07161	0	
1119635	62970.79688	3319772221230	0.62370	0.47149	62970.50000	0.29688	21920	1	0.64802	0.42858	1	0.63307	0.50727	1	0.64054	0.46793	1	0.30762	0.66570	13.70799	1.00861	1	0.77745	0.64212	12.88886	1.00861	1	-0.05478	-0.02667	0.85690	0.00353	1	0.03798	-0.01422	0.49247	0.00343	1	0.64275	1.07161	0	
1119636	62970.81250	3319772385494	0.62354	0.47112	62970.50000	0.31250	21920	1	0.61327	0.43169	1	0.62783	0.49629	1	0.62055	0.46399	1	0.30768	0.66531	13.88898	1.00861	1	0.77742	0.64190	13.53786	1.00861	1	-0.05478	-0.02667	0.85690	0.00352	1	0.03798	-0.01422	0.49247	0.00349	1	0.64275	1.07161	0	
1119637	62970.82812	3319772549309	0.62340	0.47078	62970.50000	0.32812	21920	1	0.61327	0.43169	1	0.62783	0.49629	1	0.62055	0.46399	1	0.30734	0.66573	13.91845	1.00861	1	0.77754	0.64228	13.24691	1.00861	1	-0.05478	-0.02667	0.85690	0.00338	1	0.03798	-0.01422	0.49247	0.00354	1	0.64275	1.07161	0	
1119638	62970.84375	3319772713615	0.62392	0.47302	62970.50000	0.34375	21920	1	0.61550	0.45878	1	0.65426	0.58161	1	0.63488	0.52019	1	0.30771	0.66524	13.79861	1.00861	1	0.77764	0.64283	13.34299	1.00861	1	-0.05478	-0.02667	0.85690	0.00324	1	0.03798	-0.01422	0.49247	0.00358	1	0.64275	1.07161	0	
1119639	62970.85938	3319772878170	0.62312	0.47425	62970.50000	0.35938	21920	1	0.61471	0.45749	1	0.59638	0.54484	1	0.60554	0.50116	1	0.30770	0.66509	13.76036	1.00861	1	0.77741	0.64220	13.49978	1.00861	1	-0.05478	-0.02667	0.85690	0.00327	1	0.03798	-0.01422	0.49247	0.00353	1	0.64275	1.07161	0	
1119640	62970.87891	3319773042167	0.62239	0.47537	62970.50000	0.37891	21920	1	0.61471	0.45749	1	0.59638	0.54484	1	0.60554	0.50116	1	0.30814	0.66565	14.51642	1.00861	1	0.77867	0.64278	13.55112	1.00861	1	-0.05478	-0.02667	0.85690	0.00344	1	0.03798	-0.01422	0.49247	0.00367	1	0.64275	1.07161	0	
